feature,diff_from_others
CenterArrow_run_length_avg,0.967652365664425
CenterArrow_count,0.9658996015765215
Center_run_length_avg,0.23174477378521477
Center_count,0.19918342940196482
Left_run_length_avg,0.19362859942284744
Left_count,0.14569884950501735
B_count,0.10675515907660443
B_run_length_avg,0.09259509184586676
Right_run_length_avg,0.07885728012373386
Right_count,0.04483861622816369
